"","UF","Year","ProducAlgCar","ProducCarAlg","ProduCafe","ProduCana","ProduMilho","ProduSoja","ProduTrigo"
"187","SE",2006,0,0,NA,1626.8,197.5,0,0
"188","SP",2006,95,58.9,21.0749646393211,284825.6,3982.2,1437.5,81.1
"189","TO",2006,2.6,1.6,NA,252.1,281.6,646.5,0
"190","AC",2007,0,0,NA,0,42,0,0
"191","AL",2007,4.1,2.7,NA,29864.3,44.4,0,0
"192","AM",2007,0,0,NA,314,35.2,0,0
"193","AP",2007,0,0,NA,0,2.4,0,0
"194","BA",2007,1254.5,759,15.4290081163698,2690,1966.6,2747.6,0
"195","CE",2007,3.4,2.2,NA,111.5,752.5,0,0
"196","DF",2007,0,0,NA,0,324,153.4,15.2
"197","ES",2007,0,0,19.9061671260447,4419,95.3,0,0
"198","GO",2007,271.9,165.9,0,29645.2,5031.1,6543.5,47.9
"199","MA",2007,46.1,28.3,NA,2385,490.4,1262.8,0
"200","MG",2007,79.1,49.4,16.2069786523995,44120,6629.1,2536.9,49.6
"201","MS",2007,178.3,109.7,NA,20755,3524.3,4569.2,40
"202","MT",2007,2129.3,1298.9,9.43,16109.9,7806.8,17847.9,0
"203","PA",2007,0,0,17.57,749.6,622.8,201.1,0
"204","PB",2007,3.3,2.2,NA,6117,128.5,0,0
"205","PE",2007,2.4,1.6,NA,20418.1,185.6,0,0
"206","PI",2007,49.6,31.8,NA,900.9,322.9,819.4,0
"207","PR",2007,17.3,10.9,17.7020093620327,42918.3,15368.3,11896.1,1921.8
"208","RJ",2007,0,0,20,3556.3,19.8,0,0
"209","RN",2007,6.1,4,NA,3075,53.8,0,0
"210","RO",2007,0,0,9.66851729829529,0,383.9,311.6,0
"211","RR",2007,0,0,NA,0,12.8,48.8,0
"212","RS",2007,0,0,NA,120,5322,7775.4,1720.6
"213","SC",2007,0,0,NA,0,4089.4,946.6,203.4
"214","SE",2007,0,0,NA,2306.2,451.3,0,0
"215","SP",2007,55.5,34.4,15.6016597510373,340510.4,4673.4,1446.5,98.6
"216","TO",2007,6,3.7,NA,285,273.7,910.9,0
"217","AC",2008,0,0,NA,0,44.2,0,0
"218","AL",2008,0.7,0.5,NA,27400,46.6,0,0
"219","AM",2008,0,0,NA,303.5,30,0,0
"220","AP",2008,0,0,NA,0,3,0,0
"221","BA",2008,943.1,570.6,17.123479401438,2692.7,2005.2,2418,0
"222","CE",2008,2.7,1.7,NA,124,554.9,0,0
"223","DF",2008,0,0,NA,0,271.6,156.5,15.2
"224","ES",2008,0,0,20.8949492638769,4419,96.9,0,0
"225","GO",2008,243.5,148.5,0,29645.2,4898.9,6836.2,84.3
"226","MA",2008,41.5,25.5,NA,2385,504.1,975.1,0
"227","MG",2008,58.1,35.7,22.4972618997645,41461.4,6543.5,2751.1,95.6
"228","MS",2008,146.7,89.5,NA,20755,2311.9,4179.7,67.5
"229","MT",2008,1574.8,960.6,9.19570866928767,16109.9,8081.7,17962.5,0
"230","PA",2008,0,0,18.04,628.4,565.2,208.7,0
"231","PB",2008,3.6,2.3,NA,6117,166.3,0,0
"232","PE",2008,1.9,1.3,NA,19119.8,212.1,0,0
"233","PI",2008,34.3,21.3,NA,900.9,495.4,768.8,0
"234","PR",2008,13.4,8.3,26.9087907552621,44200.1,11100.8,9509.7,3069.5
"235","RJ",2008,0,0,19.64,3556.3,20.4,0,0
"236","RN",2008,4.6,3,NA,3296.7,43,0,0
"237","RO",2008,0,0,12.0277998615136,106.3,327.4,326.5,0
"238","RR",2008,0,0,NA,0,12.8,22.4,0
"239","RS",2008,0,0,NA,120,4248.8,7912.6,2058.6
"240","SC",2008,0,0,NA,0,3265.2,974.8,323.8
"241","SE",2008,0,0,NA,2380,614.8,0,0
"242","SP",2008,26.6,16.4,23.4488978487493,345657.7,4274.2,1306.5,169.5
"243","TO",2008,8.8,5.4,NA,55.4,264.9,856.4,0
"244","AC",2009,0,0,NA,0,57.8,0,0
"245","AL",2009,0.5,0.3,NA,24504.5,41.8,0,0
"246","AM",2009,0,0,NA,211.8,31.9,0,0
"247","AP",2009,0,0,NA,0,3.3,0,0
"248","BA",2009,1017.1,610.3,14.8529761432987,2947.1,2277.1,3110.5,0
"249","CE",2009,2,1.3,NA,154.4,175.1,0,0
"250","DF",2009,0,0,NA,0,255.4,169.4,14.1
"251","ES",2009,0,0,21.2693675255003,4009.6,74.2,0,0
"252","GO",2009,225.4,138,0,40092.5,4796,7342.6,85.1
"253","MA",2009,43.1,26.3,NA,2209.4,562.1,1330.6,0
"254","MG",2009,55.8,33.9,19.8654783353369,49923.4,6083.6,2871.5,98.1
"255","MS",2009,143,87.2,NA,23297.8,3737.3,5307.8,72.6
"256","MT",2009,1496.2,912.7,9.23258250392876,14045.6,8118.1,18766.9,0
"257","PA",2009,0,0,18.3767228177642,623.4,540.6,232.5,0
"258","PB",2009,0.1,0.1,NA,6320,6.3,0,0
"259","PE",2009,1.5,1,NA,17805.6,125.6,0,0
"260","PI",2009,20.4,12.4,NA,1014,353.6,868.4,0
"261","PR",2009,0.2,0.1,17.2223526649448,45502.8,13443.3,14078.7,2540.7
"262","RJ",2009,0,0,19.0627020038785,3260,17.5,0,0
"263","RN",2009,1.5,1,NA,3472.5,9.2,0,0
"264","RO",2009,0,0,10.0236498525934,111.3,374.2,384.3,0
"265","RR",2009,0,0,NA,0,12.8,3.9,0
"266","RS",2009,0,0,NA,48.5,5593.9,10218.8,1805.6
"267","SC",2009,0,0,NA,0,3798.4,1345.2,283.1
"268","SE",2009,0,0,NA,2249.7,722.8,0,0
"269","SP",2009,16.6,10.1,18.8056257554115,362664.7,4540.3,1586.1,126.9
"270","TO",2009,13.8,8.4,NA,45.1,265.9,1071,0
