"","UF","Safra","Area","ProdutAlgCar","ProdutPluma","ProdutCarAlg","RendPluma","ProducAlgCar","ProducPluma","ProducCarAlg"
"141","PA","2005.06","0","0","0","0","0","0","0","0"
"142","TO","2005.06","0","0","0","0","NaN","0","0","0"
"143","MA","2005.06","7.3","2850","1068.75","1781.25","37.5","20.805","7.801875","13.003125"
"144","PI","2005.06","13.8","2820","1015.2","1804.8","36","38.916","14.00976","24.90624"
"145","CE","2005.06","9.7","825","288.75","536.25","35","8.0025","2.800875","5.201625"
"146","RN","2005.06","14.1","680","238","442","35","9.588","3.3558","6.2322"
"147","PB","2005.06","8.5","810","283.5","526.5","35","6.885","2.40975","4.47525"
"148","PE","2005.06","3.2","705","232.65","472.35","33","2.256","0.74448","1.51152"
"149","AL","2005.06","10.2","405","133.65","271.35","33","4.131","1.36323","2.76777"
"150","SE","2005.06","0","0","0","0","0","0","0","0"
"151","BA","2005.06","233.7","3345","1294.515","2050.485","38.7","781.7265","302.5281555","479.1983445"
"152","MT","2005.06","366","3600","1375.2","2224.8","38.2","1317.6","503.3232","814.2768"
"153","MS","2005.06","30","3600","1368","2232","38","108","41.04","66.96"
"154","GO","2005.06","66.7","2905","1089.375","1815.625","37.5","193.7635","72.6613125","121.1021875"
"155","DF","2005.06","2.9","3030","1151.4","1878.6","38","8.787","3.33906","5.44794"
"156","MG","2005.06","30.4","2850","1068.75","1781.25","37.5","86.64","32.49","54.15"
"157","ES","2005.06","0","0","0","0","0","0","0","0"
"158","RJ","2005.06","0","0","0","0","0","0","0","0"
"159","SP","2005.06","43.8","2430","899.1","1530.9","37","106.434","39.38058","67.05342"
"160","PR","2005.06","15.9","1890","667.17","1222.83","35.3","30.051","10.608003","19.442997"
"161","SC","2005.06","0","0","0","0","0","0","0","0"
"162","RS","2005.06","0","0","0","0","0","0","0","0"
"163","RR","2006.07","0","0","0","0","0","0","0","0"
"164","RO","2006.07","0","0","0","0","0","0","0","0"
"165","AC","2006.07","0","0","0","0","0","0","0","0"
"166","AM","2006.07","0","0","0","0","0","0","0","0"
"167","AP","2006.07","0","0","0","0","0","0","0","0"
"168","PA","2006.07","0","0","0","0","0","0","0","0"
"169","TO","2006.07","0.7","3750","1425","2325","38","2.6","1","1.6"
"170","MA","2006.07","7.3","3750","1444","2306","38.5","27.4","10.5","16.9"
"171","PI","2006.07","13.2","1900","684","1216","36","25.1","9","16.1"
"172","CE","2006.07","7.3","500","175","325","35","3.7","1.3","2.4"
"173","RN","2006.07","12.7","665","233","432","35","8.4","3","5.4"
"174","PB","2006.07","5.1","370","130","241","35","1.9","0.7","1.2"
"175","PE","2006.07","2.9","480","158","322","33","1.4","0.5","0.9"
"176","AL","2006.07","11","405","134","271","33","4.5","1.5","3"
"177","SE","2006.07","0","0","0","0","0","0","0","0"
"178","BA","2006.07","293.5","3900","1541","2360","39.5","1144.7","452.1","692.6"
"179","MT","2006.07","542","3705","1445","2260","39","2008.1","783.2","1224.9"
"180","MS","2006.07","45.6","3930","1513","2417","38.5","179.2","69","110.2"
"181","GO","2006.07","76.7","3540","1381","2159","39","271.5","105.9","165.6"
"182","DF","2006.07","1.6","3405","1328","2077","39","5.4","2.1","3.3"
"183","MG","2006.07","32.5","3105","1164","1941","37.5","100.9","37.8","63.1"
"184","ES","2006.07","0","0","0","0","0","0","0","0"
"185","RJ","2006.07","0","0","0","0","0","0","0","0"
"186","SP","2006.07","32","2970","1129","1841","38","95","36.1","58.9"
"187","PR","2006.07","12.7","2190","810","1380","37","27.8","10.3","17.5"
"188","SC","2006.07","0","0","0","0","0","0","0","0"
"189","RS","2006.07","0","0","0","0","0","0","0","0"
"190","RR","2007.08","0","0","0","0","0","0","0","0"
"191","RO","2007.08","0","0","0","0","0","0","0","0"
"192","AC","2007.08","0","0","0","0","0","0","0","0"
"193","AM","2007.08","0","0","0","0","0","0","0","0"
"194","AP","2007.08","0","0","0","0","0","0","0","0"
"195","PA","2007.08","0","0","0","0","0","0","0","0"
"196","TO","2007.08","1.6","3729","1417","2312","38","6","2.3","3.7"
"197","MA","2007.08","12.3","3750","1444","2306","38.5","46.1","17.8","28.3"
"198","PI","2007.08","14.6","3396","1223","2173","36","49.6","17.8","31.8"
"199","CE","2007.08","4.5","745","261","484","35","3.4","1.2","2.2"
"200","RN","2007.08","7.9","776","272","504","35","6.1","2.1","4"
"201","PB","2007.08","4","821","287","534","35","3.3","1.1","2.2"
"202","PE","2007.08","3.1","760","251","509","33","2.4","0.8","1.6"
"203","AL","2007.08","11.6","356.8297","118","239","33","4.1","1.4","2.7"
"204","SE","2007.08","0","0","0","0","0","0","0","0"
"205","BA","2007.08","315.6","3975","1570","2405","39.5","1254.5","495.5","759"
"206","MT","2007.08","541.8","3930","1533","2397","39","2129.3","830.4","1298.9"
"207","MS","2007.08","44.1","4043","1557","2486","38.5","178.3","68.6","109.7"
"208","GO","2007.08","72.5","3750","1463","2288","39","271.9","106","165.9"
"209","DF","2007.08","0","0","0","0","0","0","0","0"
"210","MG","2007.08","20.6","3840","1440","2400","37.5","79.1","29.7","49.4"
"211","ES","2007.08","0","0","0","0","0","0","0","0"
"212","RJ","2007.08","0","0","0","0","0","0","0","0"
"213","SP","2007.08","16.7","3325","1264","2062","38","55.5","21.1","34.4"
"214","PR","2007.08","6.5","2656","983","1673","37","17.3","6.4","10.9"
"215","SC","2007.08","0","0","0","0","0","0","0","0"
"216","RS","2007.08","0","0","0","0","0","0","0","0"
"217","RR","2008.09","0","0","0","0","0","0","0","0"
"218","RO","2008.09","0","0","0","0","0","0","0","0"
"219","AC","2008.09","0","0","0","0","0","0","0","0"
"220","AM","2008.09","0","0","0","0","0","0","0","0"
"221","AP","2008.09","0","0","0","0","0","0","0","0"
"222","PA","2008.09","0","0","0","0","0","0","0","0"
"223","TO","2008.09","2.8","3150","1229","1922","39","8.8","3.4","5.4"
"224","MA","2008.09","12.8","3240","1247","1993","38.5","41.5","16","25.5"
"225","PI","2008.09","11.2","3060","1163","1897","38","34.3","13","21.3"
"226","CE","2008.09","3.8","720","252","468","35","2.7","1","1.7"
"227","RN","2008.09","9","506","177","329","35","4.6","1.6","3"
"228","PB","2008.09","5.2","700","245","455","35","3.6","1.3","2.3"
"229","PE","2008.09","2.5","750","248","503","33","1.9","0.6","1.3"
"230","AL","2008.09","3.1","240","79","161","33","0.7","0.2","0.5"
"231","SE","2008.09","0","0","0","0","0","0","0","0"
"232","BA","2008.09","283.2","3330","1315","2015","39.5","943.1","372.5","570.6"
"233","MT","2008.09","387.4","4065","1585","2480","39","1574.8","614.2","960.6"
"234","MS","2008.09","36.9","3975","1550","2425","39","146.7","57.2","89.5"
"235","GO","2008.09","57.3","4250","1658","2593","39","243.5","95","148.5"
"236","DF","2008.09","0","0","0","0","0","0","0","0"
"237","MG","2008.09","15.3","3796","1461","2335","38.5","58.1","22.4","35.7"
"238","ES","2008.09","0","0","0","0","0","0","0","0"
"239","RJ","2008.09","0","0","0","0","0","0","0","0"
"240","SP","2008.09","7.2","3690","1421","2269","38.5","26.6","10.2","16.4"
"241","PR","2008.09","5.5","2430","923","1507","38","13.4","5.1","8.3"
"242","SC","2008.09","0","0","0","0","0","0","0","0"
"243","RS","2008.09","0","0","0","0","0","0","0","0"
"244","RR","2009.10","0","0","0","0","0","0","0","0"
"245","RO","2009.10","0","0","0","0","0","0","0","0"
"246","AC","2009.10","0","0","0","0","0","0","0","0"
"247","AM","2009.10","0","0","0","0","0","0","0","0"
"248","AP","2009.10","0","0","0","0","0","0","0","0"
"249","PA","2009.10","0","0","0","0","0","0","0","0"
"250","TO","2009.10","4","3450","1346","2105","39","13.8","5.4","8.4"
"251","MA","2009.10","11.3","3810","1486","2324","39","43.1","16.8","26.3"
"252","PI","2009.10","5.9","3450","1363","2087","39.5","20.4","8","12.4"
"253","CE","2009.10","2.7","750","263","488","35","2","0.7","1.3"
"254","RN","2009.10","3","500","175","325","35","1.5","0.5","1"
"255","PB","2009.10","0.5","183","64","119","35","0.1","0","0.1"
"256","PE","2009.10","2.5","600","210","390","35","1.5","0.5","1"
"257","AL","2009.10","1.6","300","105","195","35","0.5","0.2","0.3"
"258","SE","2009.10","0","0","0","0","0","0","0","0"
"259","BA","2009.10","260.8","3900","1560","2340","40","1017.1","406.8","610.3"
"260","MT","2009.10","428.1","3495","1363","2132","39","1496.2","583.5","912.7"
"261","MS","2009.10","38.6","3705","1445","2260","39","143","55.8","87.2"
"262","GO","2009.10","56.7","3975","1542","2433","38.8","225.4","87.4","138"
"263","DF","2009.10","0","0","0","0","NaN","0","0","0"
"264","MG","2009.10","15","3720","1458","2262","39.2","55.8","21.9","33.9"
"265","ES","2009.10","0","0","0","0","0","0","0","0"
"266","RJ","2009.10","0","0","0","0","0","0","0","0"
"267","SP","2009.10","4.9","3380","1318","2062","39","16.6","6.5","10.1"
"268","PR","2009.10","0.1","2051","779","1272","38","0.2","0.1","0.1"
"269","SC","2009.10","0","0","0","0","0","0","0","0"
"270","RS","2009.10","0","0","0","0","0","0","0","0"
"271","RR","2010.12","0","0","0","0","0","0","0","0"
"272","RO","2010.12","0","0","0","0","0","0","0","0"
"273","AC","2010.12","0","0","0","0","0","0","0","0"
"274","AM","2010.12","0","0","0","0","0","0","0","0"
"275","AP","2010.12","0","0","0","0","0","0","0","0"
"276","PA","2010.12","0","0","0","0","0","0","0","0"
"277","TO","2010.12","5.5","3480","1357","2123","39","19.1","7.5","11.6"
"278","MA","2010.12","18.1","3930","1533","2397","39","71.1","27.7","43.4"
"279","PI","2010.12","17.8","3780","1493","2287","39.5","67.3","26.6","40.7"
"280","CE","2010.12","3.1","1010","354","657","35","3.1","1.1","2"
"281","RN","2010.12","3.8","567","198","369","35","2.2","0.8","1.4"
"282","PB","2010.12","1","869","304","565","35","0.9","0.3","0.6"
"283","PE","2010.12","0.8","720","252","468","35","0.6","0.2","0.4"
"284","AL","2010.12","0.6","320","112","208","35","0.2","0.1","0.1"
"285","SE","2010.12","0","0","0","0","0","0","0","0"
"286","BA","2010.12","405.3","3975","1562","2413","39.3","1611.1","633.1","978"
"287","MT","2010.12","723.5","3540","1292","2248","36.5","2561.2","934.8","1626.4"
"288","MS","2010.12","61","3750","1463","2288","39","228.8","89.2","139.6"
"289","GO","2010.12","108.3","3960","1501","2459","37.9","428.9","162.5","266.4"
"290","DF","2010.12","0.7","2435","945","1490","38.8","1.7","0.7","1"
"291","MG","2010.12","31.6","3663","1436","2227","39.2","115.8","45.4","70.4"
"292","ES","2010.12","0","0","0","0","0","0","0","0"
"293","RJ","2010.12","0","0","0","0","0","0","0","0"
"294","SP","2010.12","18.1","4048","1579","2469","39","73.3","28.6","44.7"
"295","PR","2010.12","1.1","2836","1078","1758","38","3.1","1.2","1.9"
"296","SC","2010.12","0","0","0","0","0","0","0","0"
"297","RS","2010.12","0","0","0","0","0","0","0","0"
"298","RR","2011.12","","0","0","0","0","0","0","0"
"299","RO","2011.12","","0","0","0","0","0","0","0"
"300","AC","2011.12","","0","0","0","0","0","0","0"
"301","AM","2011.12","","0","0","0","0","0","0","0"
"302","AP","2011.12","","0","0","0","0","0","0","0"
"303","PA","2011.12","","0","0","0","0","0","0","0"
"304","TO","2011.12","7.5","2900","1131","1769","39","21.8","8.5","13.3"
"305","MA","2011.12","18.6","3975","1550","2425","39","73.9","28.8","45.1"
"306","PI","2011.12","21.3","3480","1357","2123","39","74.1","28.9","45.2"
"307","CE","2011.12","1.3","170","60","111","35","0.2","0.1","0.1"
"308","RN","2011.12","0.5","520","182","338","35","0.3","0.1","0.2"
"309","PB","2011.12","0.2","106","37","69","35","0","0","0"
"310","PE","2011.12","0.8","195","68","127","35","0.2","0.1","0.1"
"311","AL","2011.12","0.2","300","105","195","35","0.1","0","0.1"
"312","SE","2011.12","0","0","0","0","0","0","0","0"
"313","BA","2011.12","417.5","2970","1158","1812","39","1240","483.6","756.4"
"314","MT","2011.12","725.7","3795","1442","2353","38","2754","1046.5","1707.5"
