"","UF","Safra","Area","Produtividade","Producao"
"325","RR","2012.13","6.5","2000","13"
"326","RO","2012.13","166.2","3017.767749699158","501.6"
"327","AC","2012.13","46.1","2421","111.6"
"328","AM","2012.13","12.9","2390","30.8"
"329","AP","2012.13","2.3","826","1.9"
"330","PA","2012.13","199.1","2841","565.6"
"331","TO","2012.13","95.2","4704.296218487396","447.8"
"332","MA","2012.13","506.7","2584.1953818827706","1309.4"
"333","PI","2012.13","379.8","1429.1269088994209","542.8"
"334","CE","2012.13","408.7","240","98.1"
"335","RN","2012.13","13.3","355","4.7"
"336","PB","2012.13","53.1","496","26.3"
"337","PE","2012.13","94.5","167","15.8"
"338","AL","2012.13","34.4","637","21.9"
"339","SE","2012.13","206.6","4557","941.5"
"340","BA","2012.13","628.4","3022.4879057924886","1899.3"
"341","MT","2012.13","3424.7","5808.675329225917","19893"
"342","MS","2012.13","1509","5182.703777335984","7820.7"
"343","GO","2012.13","1215.8","6330.059220266491","7696.1"
"344","DF","2012.13","53.4","9378.977528089888","500.8"
"345","MG","2012.13","1268.6","5874.326974617689","7452.2"
"346","ES","2012.13","24.1","2547","61.4"
"347","RJ","2012.13","5.9","2250","13.3"
"348","SP","2012.13","904.4","5695.3118089341","5150.8"
"349","PR","2012.13","3047.3","5789.5277130574605","17642.4"
"350","SC","2012.13","489","6870","3359.4"
"351","RS","2012.13","1033.3","5210","5383.5"
"352","RR","2013.14","6.5","923","6"
"353","RO","2013.14","149.3","3051.0375083724043","455.5"
"354","AC","2013.14","46.5","2340","108.8"
"355","AM","2013.14","11","2627","28.9"
"356","AP","2013.14","2.2","921","2"
"357","PA","2013.14","184.1","2916","536.8"
"358","TO","2013.14","151.9","4499.558262014483","683.5"
"359","MA","2013.14","606.4","2846.1250000000005","1725.9"
"360","PI","2013.14","405","2541.76987654321","1029.4"
"361","CE","2013.14","480.6","835","401.3"
"362","RN","2013.14","32.4","633","20.5"
"363","PB","2013.14","76.6","462","35.4"
"364","PE","2013.14","228.6","411","94"
"365","AL","2013.14","31","887","27.5"
"366","SE","2013.14","226.6","4670","1058.2"
"367","BA","2013.14","812.5","3916.6953846153847","3182.3"
"368","MT","2013.14","3298.2","5472.504214419986","18049.4"
"369","MS","2013.14","1574.5","5195.046046363925","8179.6"
"370","GO","2013.14","1240.5","6448.286174929464","7999.1"
"371","DF","2013.14","89","9277.8202247191","825.7"
"372","MG","2013.14","1326","5236.018099547511","6943"
"373","ES","2013.14","22.3","2711","60.5"
"374","RJ","2013.14","4.4","2332","10.3"
"375","SP","2013.14","753.8","4927.78256832051","3714.6"
"376","PR","2013.14","2566.2","6106.991349076456","15671.8"
"377","SC","2013.14","471.9","7385","3485"
"378","RS","2013.14","1031.2","5544","5717"
"379","RR","2014.15Prev","6.5","1174","7.6"
"380","RO","2014.15Prev","112.8","3159.962765957447","356.4"
"381","AC","2014.15Prev","41.3","2402","99.2"
"382","AM","2014.15Prev","10.8","2709","29.3"
"383","AP","2014.15Prev","1.7","979","1.7"
"384","PA","2014.15Prev","199","2841","565.4"
"385","TO","2014.15Prev","172.9","4524.618276460382","782.3"
"386","MA","2014.15Prev","480.7","2970.752028292074","1428"
"387","PI","2014.15Prev","406.4","3074.585383858268","1249.5"
"388","CE","2014.15Prev","480.6","892","428.7"
"389","RN","2014.15Prev","39.9","749","29.9"
"390","PB","2014.15Prev","113.9","839","95.6"
"391","PE","2014.15Prev","168.9","551","93.1"
"392","AL","2014.15Prev","31","887","27.5"
"393","SE","2014.15Prev","226.6","4670","1058.2"
"394","BA","2014.15Prev","779.8","3614.3164914080535","2818.4"
"395","MT","2014.15Prev","3235.7","5646.722131223538","18271.1"
"396","MS","2014.15Prev","1568","5448.4247448979595","8543.1"
"397","GO","2014.15Prev","1248.7","6535.220309121486","8160.5"
"398","DF","2014.15Prev","56.8","8076.5281690140855","458.7"
"399","MG","2014.15Prev","1242.6","5428.454852728151","6745.4"
"400","ES","2014.15Prev","18.1","1405","25.4"
"401","RJ","2014.15Prev","2.9","2229","6.5"
"402","SP","2014.15Prev","758.1","5218.986017675768","3956.5"
"403","PR","2014.15Prev","2409.7","6072.730588869985","14633.5"
"404","SC","2014.15Prev","411.5","7741","3185.4"
"405","RS","2014.15Prev","941","6300","5928.3"
